customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.hasPositionGraph,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,homeTeam.disabled,homeScore.period2,awayScore.period2,homeRedCards,lastPeriod,time.initial,time.max,time.extra,statusTime.prefix,statusTime.initial,statusTime.max,statusTime.timestamp,statusTime.extra,roundInfo.name,roundInfo.cupRoundType
Ambspid,0.0,-1.0,False,,,10433362,,1657371600,motor-lublin-gornik-leczna,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Górnik Łęczna,gornik-leczna,Górnik Łęczna,Football,football,1,0,0,3125,[],#52b030,#52b030,#ffffff,Motor Lublin,motor-lublin,Motor,Football,football,1,0,0,7915,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
UacsXdc,0.0,-1.0,False,,,10433346,,1657371600,maccabi-haifa-kv-mechelen,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,KV Mechelen,kv-mechelen,KV Mechelen,Football,football,1,0,0,5044,[],#52b030,#52b030,#ffffff,Maccabi Haifa,maccabi-haifa,M. Haifa,Football,football,1,0,0,5197,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
iQszdb,0.0,-1.0,False,,,10379584,,1657371600,eintracht-frankfurt-lask,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,LASK,lask,LASK,Football,football,1,0,0,2058,[],#52b030,#52b030,#ffffff,Eintracht Frankfurt,eintracht-frankfurt,E. Frankfurt,Football,football,1,0,0,2674,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,False,,,,,,,,,,,,,,
BQstU,0.0,-1.0,False,,,10432071,,1657371600,sparta-praha-wolfsberger-ac,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Wolfsberger AC,wolfsberger-ac,WAC,Football,football,1,0,0,2076,[],#52b030,#52b030,#ffffff,Sparta Praha,sparta-praha,Sparta Praha,Football,football,1,0,0,2218,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Xabsynb,0.0,-1.0,False,,,10432073,,1657373400,bohemian-1-fc-union-berlin,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,,0,Not started,notstarted,1. FC Union Berlin,1-fc-union-berlin,Union Berlin,Football,football,1,0,0,2547,[],#52b030,#52b030,#ffffff,Bohemian,bohemian,Bohemian,Football,football,1,0,0,3173,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
ubbsKrc,0.0,-1.0,False,,,10433347,,1657373400,1-fc-heidenheim-1899-hoffenheim,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,1899 Hoffenheim,1899-hoffenheim,Hoffenheim,Football,football,1,0,0,2569,[],#52b030,#52b030,#ffffff,1. FC Heidenheim,1-fc-heidenheim,Heidenheim,Football,football,1,0,0,5885,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Pabscjb,0.0,-1.0,False,,,10437740,,1657373400,psv-eindhoven-arminia-bielefeld,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Arminia Bielefeld,arminia-bielefeld,Bielefeld,Football,football,1,0,0,2540,[],#52b030,#52b030,#ffffff,PSV Eindhoven,psv-eindhoven,PSV,Football,football,1,0,0,2952,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
TabsGdb,0.0,-1.0,False,,,10432072,,1657373400,bayer-04-leverkusen-msv-duisburg,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Bayer 04 Leverkusen,bayer-04-leverkusen,Leverkusen,Football,football,1,0,0,2681,[],#52b030,#52b030,#ffffff,MSV Duisburg,msv-duisburg,Duisburg,Football,football,1,0,0,2543,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
ldsLtk,0.0,-1.0,False,,,10433357,,1657375200,curzon-ashton-fc-ashton-united,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Ashton United,ashton-united,Ashton,Football,football,1,0,0,161,[],#52b030,#52b030,#ffffff,Curzon Ashton FC,curzon-ashton-fc,Ashton,Football,football,1,0,0,25936,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
pbsme,0.0,-1.0,False,,,10441697,,1657375200,oldham-athletic-bamber-bridge,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Bamber Bridge,bamber-bridge,Bamber,Football,football,1,0,0,212,[],#52b030,#52b030,#ffffff,Oldham Athletic,oldham-athletic,Oldham,Football,football,1,0,0,65,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
usy,0.0,-1.0,False,,,10432076,,1657375200,barnsley-crewe-alexandra,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Barnsley,barnsley,Barnsley,Football,football,1,0,0,23,[],#52b030,#52b030,#ffffff,Crewe Alexandra,crewe-alexandra,Crewe,Football,football,1,0,0,19,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,False,,,,,,,,,,,,,,
ubsUid,0.0,-1.0,False,,,10433349,,1657375200,bath-city-cheltenham-town,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Bath City,bath-city,Bath,Football,football,1,0,0,7944,[],#52b030,#52b030,#ffffff,Cheltenham Town,cheltenham-town,Cheltenham,Football,football,1,0,0,69,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
Jabsalb,0.0,-1.0,False,,,10433356,,1657375200,besiktas-jk-werder-bremen,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,,0,Not started,notstarted,Beşiktaş JK,besiktas-jk,Beşiktaş,Football,football,1,0,0,3050,[],#52b030,#52b030,#ffffff,Werder Bremen,werder-bremen,Bremen,Football,football,1,0,0,2534,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
absrEo,0.0,-1.0,False,,,10432078,,1657375200,brentford-boreham-wood,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Boreham Wood,boreham-wood,Boreham,Football,football,1,0,0,36467,[],#52b030,#52b030,#ffffff,Brentford,brentford,Brentford,Football,football,1,0,0,50,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
xsC,0.0,-1.0,False,,,10444976,,1657375200,derby-county-bradford-city,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,,0,Not started,notstarted,Bradford City,bradford-city,Bradford,Football,football,1,0,0,22,[],#52b030,#52b030,#ffffff,Derby County,derby-county,Derby,Football,football,1,0,0,27,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,
dcsmf,0.0,-1.0,False,,,10441696,,1657375200,chester-rochdale,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Chester,chester,Chester,Football,football,1,0,0,262,[],#52b030,#52b030,#ffffff,Rochdale,rochdale,Rochdale,Football,football,1,0,0,103,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Xswe,0.0,-1.0,False,,,10393794,,1657375200,charlton-athletic-dartford,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Dartford,dartford,Dartford,Football,football,1,0,0,221,[],#52b030,#52b030,#ffffff,Charlton Athletic,charlton-athletic,Charlton,Football,football,1,0,0,47,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
nRsQR,0.0,-1.0,False,,,10443554,,1657375200,donau-linz-blau-weiss-linz,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,0,853,False,False,0,86,1.0,0,Not started,notstarted,Donau Linz,donau-linz,Donau Linz,Football,football,1,0,0,2141,[],#52b030,#52b030,#ffffff,Blau Weiss Linz,blau-weiss-linz,BW Linz,Football,football,1,0,0,2113,[],#52b030,#52b030,#ffffff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
